analysis	regime	cell_id	m_PB	m_TV	N	c_bm	n_reps	n_converged	conv_rate	power	mcse_power	mean_beta	bias	mcse_bias	coverage
one_component	alt	49	6	-1	35	0.45	1000	1000	1	0.588	0.0155645751628498	-2.26103721927448	-0.0110372192744808	0.0277221828776353	0.979
phase_augmented	alt	49	6	-1	35	0.45	1000	1000	1	0.361	0.0151881203577006	-2.26426143901714	-0.0142614390171429	0.0438348729986711	0.954
one_component	alt	50	6	-1	70	0.45	1000	1000	1	0.908	0.00913980306133562	-2.25257786959883	-0.00257786959882988	0.0182089860296423	0.989
phase_augmented	alt	50	6	-1	70	0.45	1000	1000	1	0.619	0.0153570504980611	-2.25258047524208	-0.00258047524207994	0.029659393541301	0.963
one_component	alt	51	6	-1	100	0.45	1000	1000	1	1	0	-2.25509430824874	-0.0050943082487418	0.00867113423788345	0.975
phase_augmented	alt	51	6	-1	100	0.45	1000	1000	1	1	0	-2.26639381725042	-0.0163938172504183	0.0124526938319318	0.98
one_component	alt	52	6	-1	150	0.45	1000	1000	1	1	0	-2.24818113299938	0.00181886700062073	0.00670021212756563	0.979
phase_augmented	alt	52	6	-1	150	0.45	1000	1000	1	1	0	-2.24287314081778	0.00712685918222222	0.0102568372334833	0.979
one_component	alt	53	6	0	35	0.45	1000	1000	1	0.554	0.0157189058143371	-2.22974752896063	0.0202524710393677	0.0272717149134358	0.986
phase_augmented	alt	53	6	0	35	0.45	1000	1000	1	0.333	0.0149033888763596	-2.1889266732379	0.0610733267620951	0.0433148443070656	0.954
one_component	alt	54	6	0	70	0.45	1000	1000	1	0.896	0.00965318600255895	-2.24878676152606	0.00121323847393739	0.0191423815588238	0.985
phase_augmented	alt	54	6	0	70	0.45	1000	1000	1	0.632	0.0152504426165276	-2.26221972861869	-0.0122197286186903	0.030212049754076	0.95
one_component	alt	55	6	0	100	0.45	1000	1000	1	1	0	-2.24497074992114	0.00502925007886157	0.00799119101035278	0.989
phase_augmented	alt	55	6	0	100	0.45	1000	1000	1	1	0	-2.25628281371165	-0.00628281371164574	0.0119733867918539	0.982
one_component	alt	56	6	0	150	0.45	1000	1000	1	1	0	-2.24636184118354	0.00363815881646046	0.00706254470778413	0.972
phase_augmented	alt	56	6	0	150	0.45	1000	1000	1	1	0	-2.24708170801637	0.00291829198363125	0.0101746469305154	0.98
one_component	alt	57	6	1	35	0.45	1000	1000	1	0.577	0.0156227718411299	-2.24992622122284	7.3778777156086e-05	0.026098797744894	0.991
phase_augmented	alt	57	6	1	35	0.45	1000	1000	1	0.336	0.0149366662947259	-2.26118601988848	-0.0111860198884783	0.042050628459133	0.965
one_component	alt	58	6	1	70	0.45	1000	1000	1	0.897	0.00961202372032029	-2.24149391111074	0.00850608888925519	0.0186249878218031	0.987
phase_augmented	alt	58	6	1	70	0.45	1000	1000	1	0.611	0.0154168414404508	-2.21473635226696	0.0352636477330379	0.0299726394417399	0.968
one_component	alt	59	6	1	100	0.45	1000	1000	1	1	0	-2.25549054873409	-0.00549054873408572	0.00873329480439473	0.969
phase_augmented	alt	59	6	1	100	0.45	1000	1000	1	0.999	0.000999499874937461	-2.25085755772872	-0.000857557728723535	0.0132540759201428	0.97
one_component	alt	60	6	1	150	0.45	1000	1000	1	1	0	-2.23403993028621	0.0159600697137887	0.00705612555350458	0.981
phase_augmented	alt	60	6	1	150	0.45	1000	1000	1	1	0	-2.24551748740801	0.0044825125919874	0.0101207511792342	0.981
one_component	alt	61	6	2	35	0.45	1000	1000	1	0.538	0.0157656588825206	-2.23117303233899	0.0188269676610053	0.0276731540184828	0.984
phase_augmented	alt	61	6	2	35	0.45	1000	998	0.998	0.324649298597194	0.0148219942837203	-2.21816795827915	0.031832041720846	0.043988367102976	0.964929859719439
one_component	alt	62	6	2	70	0.45	1000	1000	1	0.895	0.00969407035254026	-2.23484642841525	0.0151535715847548	0.018758544584946	0.989
phase_augmented	alt	62	6	2	70	0.45	1000	1000	1	0.621	0.0153414145371279	-2.23427407849882	0.0157259215011782	0.0298667524176167	0.96
